date,strategy_id,strategy_type,active_legs,pnl_booked
2024-07-17,20240717_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1,Strangle,24800.0-CE--25;24500.0-PE--25,0.0
2024-07-18,20240718_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1,Strangle,24800.0-CE--25;24500.0-PE--25,1095.0
2024-07-22,20240722_NIFTY_2024-07-25 00:00:00_Naked Put Sell_24400.0_PE_-1,Naked Put Sell,24400.0-PE--25,0.0
2024-07-23,20240723_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1,Strangle,24600.0-CE--25;24400.0-PE--25,0.0
2024-07-24,20240724_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1,Strangle,24600.0-CE--25;24400.0-PE--25,2006.25
2024-07-26,20240726_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-29,20240729_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-30,20240730_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-07-31,20240731_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,0.0
2024-08-01,20240801_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1,Strangle,25150.0-CE--25;24400.0-PE--25,1788.75
2024-08-05,20240805_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-08-06,20240806_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-08-07,20240807_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1,Strangle,24500.0-CE--25;23900.0-PE--25,0.0
2024-08-08,20240808_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1,Strangle,24500.0-CE--25;23900.0-PE--25,1532.5
2024-08-13,20240813_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1,Strangle,24500.0-CE--25;24100.0-PE--25,0.0
2024-08-14,20240814_NIFTY_2024-08-14 00:00:00_Strangle_24500.0_CE_-1|24100.0_PE_-1,Strangle,24500.0-CE--25;24100.0-PE--25,1512.5
2024-08-19,20240819_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,0.0
2024-08-20,20240820_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,0.0
2024-08-21,20240821_NIFTY_2024-08-22 00:00:00_Strangle_24800.0_CE_-1|24400.0_PE_-1,Strangle,24800.0-CE--25;24400.0-PE--25,933.75
2024-08-23,20240823_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1,Strangle,25050.0-CE--25;24650.0-PE--25,0.0
2024-08-26,20240826_NIFTY_2024-08-29 00:00:00_Strangle_25050.0_CE_-1|24650.0_PE_-1,Strangle,25050.0-CE--25;24650.0-PE--25,-1753.75
2024-08-26,20240826_NIFTY_2024-08-29 00:00:00_Naked Call Sell_25150.0_CE_-1,Naked Call Sell,25150.0-CE--25,0.0
2024-08-27,20240827_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,0.0
2024-08-28,20240828_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,0.0
2024-08-29,20240829_NIFTY_2024-08-29 00:00:00_Strangle_25150.0_CE_-1|24650.0_PE_-1,Strangle,25150.0-CE--25;24650.0-PE--25,1210.0
2024-09-02,20240902_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-03,20240903_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-04,20240904_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,0.0
2024-09-05,20240905_NIFTY_2024-09-05 00:00:00_Strangle_25500.0_CE_-1|25000.0_PE_-1,Strangle,25500.0-CE--25;25000.0-PE--25,1253.75
2024-09-06,20240906_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-09,20240909_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-10,20240910_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-11,20240911_NIFTY_2024-09-12 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Bull Put Spread_24600.0_PE_-1|25400.0_PE_1,Bull Put Spread,24600.0-PE--25;25400.0-PE-25,1293.75
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Call Sell_25200.0_CE_-1,Naked Call Sell,25200.0-CE--25,1076.25
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-12,20240912_NIFTY_2024-09-12 00:00:00_Naked Put Buy_25400.0_PE_1,Naked Put Buy,25400.0-PE-25,0.0
2024-09-16,20240916_NIFTY_2024-09-19 00:00:00_Strangle_25600.0_CE_-1|25100.0_PE_-1,Strangle,25600.0-CE--25;25100.0-PE--25,0.0
2024-09-17,20240917_NIFTY_2024-09-19 00:00:00_Strangle_25600.0_CE_-1|25100.0_PE_-1,Strangle,25600.0-CE--25;25100.0-PE--25,0.0
2024-09-18,20240918_NIFTY_2024-09-19 00:00:00_Strangle_25500.0_CE_-1|25100.0_PE_-1,Strangle,25500.0-CE--25;25100.0-PE--25,0.0
2024-09-18,20240918_NIFTY_2024-09-19 00:00:00_Naked Call Sell_25600.0_CE_-1,Naked Call Sell,25600.0-CE--25,-373.75
2024-09-19,20240919_NIFTY_2024-09-19 00:00:00_Strangle_25500.0_CE_-1|25100.0_PE_-1,Strangle,25500.0-CE--25;25100.0-PE--25,367.5
2024-09-20,20240920_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25300.0_PE_-1,Naked Put Sell,25300.0-PE--25,0.0
2024-09-23,20240923_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25300.0_PE_-1,Naked Put Sell,25300.0-PE--25,0.0
2024-09-24,20240924_NIFTY_2024-09-26 00:00:00_Strangle_26200.0_CE_-1|25300.0_PE_-1,Strangle,26200.0-CE--25;25300.0-PE--25,1006.25
2024-09-24,20240924_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25700.0_PE_-1,Naked Put Sell,25700.0-PE--25,0.0
2024-09-25,20240925_NIFTY_2024-09-26 00:00:00_Strangle_26200.0_CE_-1|25700.0_PE_-1,Strangle,26200.0-CE--25;25700.0-PE--25,0.0
2024-09-26,20240926_NIFTY_2024-09-26 00:00:00_Straddle_26200.0_CE_-1|26200.0_PE_-1,Straddle,26200.0-CE--25;26200.0-PE--25,1346.25
2024-09-26,20240926_NIFTY_2024-09-26 00:00:00_Naked Put Sell_25700.0_PE_-1,Naked Put Sell,25700.0-PE--25,1013.75
2024-09-27,20240927_NIFTY_2024-10-03 00:00:00_Strangle_26600.0_CE_-1|25900.0_PE_-1,Strangle,26600.0-CE--25;25900.0-PE--25,0.0
2024-09-30,20240930_NIFTY_2024-10-03 00:00:00_Strangle_26200.0_CE_-1|25900.0_PE_-1,Strangle,26200.0-CE--25;25900.0-PE--25,0.0
2024-09-30,20240930_NIFTY_2024-10-03 00:00:00_Naked Call Sell_26600.0_CE_-1,Naked Call Sell,26600.0-CE--25,662.5
2024-10-01,20241001_NIFTY_2024-10-03 00:00:00_Strangle_25800.0_CE_-1|25900.0_PE_-1,Strangle,25800.0-CE--25;25900.0-PE--25,0.0
2024-10-01,20241001_NIFTY_2024-10-03 00:00:00_Naked Call Sell_26200.0_CE_-1,Naked Call Sell,26200.0-CE--25,831.25
2024-10-02,20241002_NIFTY_2024-10-03 00:00:00_Strangle_25800.0_CE_-1|25900.0_PE_-1,Strangle,25800.0-CE--25;25900.0-PE--25,0.0
2024-10-03,20241003_NIFTY_2024-10-03 00:00:00_Bull Call Spread_25250.0_CE_1|25800.0_CE_-1,Bull Call Spread,25250.0-CE-25;25800.0-CE--25,1758.75
2024-10-03,20241003_NIFTY_2024-10-03 00:00:00_Bear Put Spread_25250.0_PE_1|25900.0_PE_-1,Bear Put Spread,25250.0-PE-25;25900.0-PE--25,-12007.5
2024-10-04,20241004_NIFTY_2024-10-10 00:00:00_Strangle_25500.0_CE_-1|24600.0_PE_-1,Strangle,25500.0-CE--25;24600.0-PE--25,0.0
2024-10-07,20241007_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-10-07,20241007_NIFTY_2024-10-10 00:00:00_Naked Call Sell_25500.0_CE_-1,Naked Call Sell,25500.0-CE--25,647.5
2024-10-08,20241008_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,0.0
2024-10-09,20241009_NIFTY_2024-10-10 00:00:00_Strangle_25200.0_CE_-1|24600.0_PE_-1,Strangle,25200.0-CE--25;24600.0-PE--25,2315.0
2024-10-14,20241014_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24750.0_PE_-1,Strangle,25350.0-CE--25;24750.0-PE--25,0.0
2024-10-15,20241015_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24750.0_PE_-1,Strangle,25350.0-CE--25;24750.0-PE--25,0.0
2024-10-16,20241016_NIFTY_2024-10-17 00:00:00_Strangle_25200.0_CE_-1|24750.0_PE_-1,Strangle,25200.0-CE--25;24750.0-PE--25,606.25
2024-10-16,20241016_NIFTY_2024-10-17 00:00:00_Strangle_25350.0_CE_-1|24900.0_PE_-1,Strangle,25350.0-CE--25;24900.0-PE--25,508.75
2024-10-17,20241017_NIFTY_2024-10-17 00:00:00_Strangle_25200.0_CE_-1|24900.0_PE_-1,Strangle,25200.0-CE--25;24900.0-PE--25,-1052.5
2024-10-18,20241018_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1,Naked Call Sell,25000.0-CE--25,0.0
2024-10-21,20241021_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1,Naked Call Sell,25000.0-CE--25,0.0
2024-10-22,20241022_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1,Naked Call Sell,25000.0-CE--25,0.0
2024-10-23,20241023_NIFTY_2024-10-24 00:00:00_Strangle_24750.0_CE_-1|24300.0_PE_-1,Strangle,24750.0-CE--25;24300.0-PE--25,0.0
2024-10-23,20241023_NIFTY_2024-10-24 00:00:00_Naked Call Sell_25000.0_CE_-1,Naked Call Sell,25000.0-CE--25,835.0
2024-10-24,20241024_NIFTY_2024-10-24 00:00:00_Strangle_24750.0_CE_-1|24300.0_PE_-1,Strangle,24750.0-CE--25;24300.0-PE--25,700.0
2024-10-25,20241025_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1,Strangle,24500.0-CE--25;23800.0-PE--25,0.0
2024-10-28,20241028_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1,Strangle,24500.0-CE--25;23800.0-PE--25,0.0
2024-10-29,20241029_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1,Strangle,24500.0-CE--25;23800.0-PE--25,0.0
2024-10-30,20241030_NIFTY_2024-10-31 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1,Strangle,24500.0-CE--25;23800.0-PE--25,343.75
2024-10-30,20241030_NIFTY_2024-10-31 00:00:00_Strangle_24600.0_CE_-1|24250.0_PE_-1,Strangle,24600.0-CE--25;24250.0-PE--25,0.0
2024-10-31,20241031_NIFTY_2024-10-31 00:00:00_Strangle_24600.0_CE_-1|24250.0_PE_-1,Strangle,24600.0-CE--25;24250.0-PE--25,0.0
2024-11-04,20241104_NIFTY_2024-11-07 00:00:00_Strangle_24500.0_CE_-1|23400.0_PE_-1,Strangle,24500.0-CE--25;23400.0-PE--25,0.0
2024-11-05,20241105_NIFTY_2024-11-07 00:00:00_Strangle_24500.0_CE_-1|23400.0_PE_-1,Strangle,24500.0-CE--25;23400.0-PE--25,0.0
2024-11-06,20241106_NIFTY_2024-11-07 00:00:00_Straddle_24500.0_CE_-1|24500.0_PE_-1,Straddle,24500.0-CE--25;24500.0-PE--25,0.0
2024-11-06,20241106_NIFTY_2024-11-07 00:00:00_Naked Put Sell_23400.0_PE_-1,Naked Put Sell,23400.0-PE--25,1443.75
2024-11-07,20241107_NIFTY_2024-11-07 00:00:00_Straddle_24500.0_CE_-1|24500.0_PE_-1,Straddle,24500.0-CE--25;24500.0-PE--25,-4495.0
2024-11-07,20241107_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,721.25
2024-11-07,CAL_NIFTY_24500.0_CE_-25_2024-11-07 00:00:00_2024-11-14 00:00:00,Calendar Spread,24500.0-CE--25-[Timestamp('2024-11-07 00:00:00')];24500.0-CE--25-[Timestamp('2024-11-14 00:00:00')],1442.5
2024-11-08,20241108_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-11-11,20241111_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,0.0
2024-11-12,20241112_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24200.0_CE_-1,Naked Call Sell,24200.0-CE--25,0.0
2024-11-12,20241112_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24500.0_CE_-1,Naked Call Sell,24500.0-CE--25,1546.25
2024-11-13,20241113_NIFTY_2024-11-14 00:00:00_Strangle_24050.0_CE_-1|23450.0_PE_-1,Strangle,24050.0-CE--25;23450.0-PE--25,0.0
2024-11-13,20241113_NIFTY_2024-11-14 00:00:00_Naked Call Sell_24200.0_CE_-1,Naked Call Sell,24200.0-CE--25,347.5
2024-11-14,20241114_NIFTY_2024-11-14 00:00:00_Strangle_24050.0_CE_-1|23450.0_PE_-1,Strangle,24050.0-CE--25;23450.0-PE--25,1068.75
2024-11-18,20241118_NIFTY_2024-11-21 00:00:00_Naked Call Sell_23650.0_CE_-1,Naked Call Sell,23650.0-CE--25,0.0
2024-11-19,20241119_NIFTY_2024-11-21 00:00:00_Bull Put Spread_23150.0_PE_-1|23500.0_PE_1,Bull Put Spread,23150.0-PE--25;23500.0-PE-25,2212.5
2024-11-19,20241119_NIFTY_2024-11-21 00:00:00_Naked Call Sell_23650.0_CE_-1,Naked Call Sell,23650.0-CE--25,0.0
2024-11-20,20241120_NIFTY_2024-11-21 00:00:00_Strangle_23650.0_CE_-1|23150.0_PE_-1,Strangle,23650.0-CE--25;23150.0-PE--25,0.0
2024-11-21,20241121_NIFTY_2024-11-21 00:00:00_Strangle_23650.0_CE_-1|23150.0_PE_-1,Strangle,23650.0-CE--25;23150.0-PE--25,1056.25
2024-11-21,20241121_NIFTY_2024-11-28 00:00:00_Strangle_23800.0_CE_-1|22700.0_PE_-1,Strangle,23800.0-CE--25;22700.0-PE--25,0.0
2024-11-22,20241122_NIFTY_2024-11-28 00:00:00_Strangle_23800.0_CE_-1|22700.0_PE_-1,Strangle,23800.0-CE--25;22700.0-PE--25,-6436.25
2024-11-25,20241125_NIFTY_2024-11-28 00:00:00_Strangle_24400.0_CE_-1|22700.0_PE_-1,Strangle,24400.0-CE--25;22700.0-PE--25,786.25
2024-11-25,20241125_NIFTY_2024-11-28 00:00:00_Naked Put Sell_23900.0_PE_-1,Naked Put Sell,23900.0-PE--25,0.0
2024-11-26,20241126_NIFTY_2024-11-28 00:00:00_Strangle_24400.0_CE_-1|23900.0_PE_-1,Strangle,24400.0-CE--25;23900.0-PE--25,0.0
2024-11-27,20241127_NIFTY_2024-11-28 00:00:00_Strangle_24400.0_CE_-1|23900.0_PE_-1,Strangle,24400.0-CE--25;23900.0-PE--25,2527.5
2024-12-02,20241202_NIFTY_2024-12-05 00:00:00_Strangle_24500.0_CE_-1|23800.0_PE_-1,Strangle,24500.0-CE--25;23800.0-PE--25,0.0
