date,underlying,expiry,strategy_type,legs,strategy_id
2024-07-03,NIFTY,2024-07-04 00:00:00,Strangle,24400.0-CE--25;23800.0-PE--25,20240703_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1
2024-07-04,NIFTY,2024-07-04 00:00:00,Strangle,24400.0-CE--25;23800.0-PE--25,20240704_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1
2024-07-05,NIFTY,2024-07-11 00:00:00,Naked Put Sell,24150.0-PE--25,20240705_NIFTY_2024-07-11 00:00:00_Naked Put Sell_24150.0_PE_-1
2024-07-08,NIFTY,2024-07-11 00:00:00,Naked Put Sell,24150.0-PE--25,20240708_NIFTY_2024-07-11 00:00:00_Naked Put Sell_24150.0_PE_-1
2024-07-09,NIFTY,2024-07-11 00:00:00,Strangle,24500.0-CE--25;24150.0-PE--25,20240709_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1
2024-07-10,NIFTY,2024-07-11 00:00:00,Strangle,24500.0-CE--25;24150.0-PE--25,20240710_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1
2024-07-11,NIFTY,2024-07-11 00:00:00,Strangle,24500.0-CE--25;24150.0-PE--25,20240711_NIFTY_2024-07-11 00:00:00_Strangle_24500.0_CE_-1|24150.0_PE_-1
2024-07-16,NIFTY,2024-07-18 00:00:00,Strangle,24800.0-CE--25;24500.0-PE--25,20240716_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1
2024-07-16,NIFTY,2024-07-18 00:00:00,Naked Put Sell,24700.0-PE--25,20240716_NIFTY_2024-07-18 00:00:00_Naked Put Sell_24700.0_PE_-1
2024-07-17,NIFTY,2024-07-18 00:00:00,Strangle,24800.0-CE--25;24500.0-PE--25,20240717_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1
2024-07-18,NIFTY,2024-07-18 00:00:00,Strangle,24800.0-CE--25;24500.0-PE--25,20240718_NIFTY_2024-07-18 00:00:00_Strangle_24800.0_CE_-1|24500.0_PE_-1
2024-07-22,NIFTY,2024-07-25 00:00:00,Naked Put Sell,24400.0-PE--25,20240722_NIFTY_2024-07-25 00:00:00_Naked Put Sell_24400.0_PE_-1
2024-07-23,NIFTY,2024-07-25 00:00:00,Strangle,24600.0-CE--25;24400.0-PE--25,20240723_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1
2024-07-24,NIFTY,2024-07-25 00:00:00,Strangle,24600.0-CE--25;24400.0-PE--25,20240724_NIFTY_2024-07-25 00:00:00_Strangle_24600.0_CE_-1|24400.0_PE_-1
2024-07-26,NIFTY,2024-08-01 00:00:00,Strangle,25150.0-CE--25;24400.0-PE--25,20240726_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1
2024-07-29,NIFTY,2024-08-01 00:00:00,Strangle,25150.0-CE--25;24400.0-PE--25,20240729_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1
2024-07-30,NIFTY,2024-08-01 00:00:00,Strangle,25150.0-CE--25;24400.0-PE--25,20240730_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1
2024-07-31,NIFTY,2024-08-01 00:00:00,Strangle,25150.0-CE--25;24400.0-PE--25,20240731_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1
2024-08-01,NIFTY,2024-08-01 00:00:00,Strangle,25150.0-CE--25;24400.0-PE--25,20240801_NIFTY_2024-08-01 00:00:00_Strangle_25150.0_CE_-1|24400.0_PE_-1
2024-08-05,NIFTY,2024-08-08 00:00:00,Naked Call Sell,24500.0-CE--25,20240805_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1
2024-08-06,NIFTY,2024-08-08 00:00:00,Naked Call Sell,24500.0-CE--25,20240806_NIFTY_2024-08-08 00:00:00_Naked Call Sell_24500.0_CE_-1
2024-08-07,NIFTY,2024-08-08 00:00:00,Strangle,24500.0-CE--25;23900.0-PE--25,20240807_NIFTY_2024-08-08 00:00:00_Strangle_24500.0_CE_-1|23900.0_PE_-1
