symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date,underlying,expiry_year,expiry_month,expiry_day,strike,option_type,position_key,net_qty,entry_exit,matched_qty,matched_trade_ids
NIFTY2471124150PE,,2024-07-11,NSE,FO,,buy,False,25,7.7,16620652929945694214,2100000027453972,2024-07-11 09:39:40,2024-07-11,NIFTY,2024.0,7.0,11.0,24150.0,PE,NIFTY_2024-07-11_24150.0_PE,25,Exit,25,17694203247777941109
NIFTY2471824700PE,,2024-07-16,NSE,FO,,sell,False,25,102.4,17378257784690103283,2100000085678193,2024-07-16 12:28:55,2024-07-18,NIFTY,2024.0,7.0,18.0,24700.0,PE,NIFTY_2024-07-18_24700.0_PE,-25,Entry,25,
NIFTY2471824700PE,,2024-07-16,NSE,FO,,buy,False,25,104.35,16443268602880440835,2100000086404198,2024-07-16 12:31:52,2024-07-18,NIFTY,2024.0,7.0,18.0,24700.0,PE,NIFTY_2024-07-18_24700.0_PE,25,Exit,25,17378257784690103283
NIFTY2471824800CE,,2024-07-16,NSE,FO,,sell,False,25,19.3,466822073182733328,1000000089836953,2024-07-16 12:34:55,2024-07-18,NIFTY,2024.0,7.0,18.0,24800.0,CE,NIFTY_2024-07-18_24800.0_CE,-25,Entry,25,
NIFTY2471824500PE,,2024-07-16,NSE,FO,,sell,False,25,32.1,6050634133153060116,2100000087264931,2024-07-16 12:35:22,2024-07-18,NIFTY,2024.0,7.0,18.0,24500.0,PE,NIFTY_2024-07-18_24500.0_PE,-25,Entry,25,
NIFTY2471824800CE,,2024-07-18,NSE,FO,,buy,False,25,7.0,15641299766141757076,1000000041742752,2024-07-18 09:56:07,2024-07-18,NIFTY,2024.0,7.0,18.0,24800.0,CE,NIFTY_2024-07-18_24800.0_CE,25,Exit,25,466822073182733328
NIFTY2471824500PE,,2024-07-18,NSE,FO,,buy,False,25,0.6,17394109445240595557,2100000263735491,2024-07-18 14:55:50,2024-07-18,NIFTY,2024.0,7.0,18.0,24500.0,PE,NIFTY_2024-07-18_24500.0_PE,25,Exit,25,6050634133153060116
NIFTY24JUL24400PE,,2024-07-22,NSE,FO,,sell,False,25,143.0,18037636685722172544,2000000047814244,2024-07-22 10:52:38,2024-07-25,NIFTY,2024.0,7.0,,24400.0,PE,NIFTY_2024-07-25_24400.0_PE,-25,Entry,25,
NIFTY24JUL24600CE,,2024-07-23,NSE,FO,,sell,False,25,39.75,4642394510589360142,1000000326324208,2024-07-23 13:47:03,2024-07-25,NIFTY,2024.0,7.0,,24600.0,CE,NIFTY_2024-07-25_24600.0_CE,-25,Entry,25,
NIFTY24JUL24400PE,,2024-07-24,NSE,FO,,buy,False,25,90.15,6984264774102575043,2000000221674493,2024-07-24 15:07:00,2024-07-25,NIFTY,2024.0,7.0,,24400.0,PE,NIFTY_2024-07-25_24400.0_PE,25,Exit,25,18037636685722172544
NIFTY24JUL24600CE,,2024-07-24,NSE,FO,,buy,False,25,12.35,15401624836272865243,1000000212964167,2024-07-24 15:07:29,2024-07-25,NIFTY,2024.0,7.0,,24600.0,CE,NIFTY_2024-07-25_24600.0_CE,25,Exit,25,4642394510589360142
NIFTY2480124400PE,,2024-07-26,NSE,FO,,sell,False,25,47.55,6941631741227733214,2000000058901306,2024-07-26 12:19:56,2024-08-01,NIFTY,2024.0,8.0,1.0,24400.0,PE,NIFTY_2024-08-01_24400.0_PE,-25,Entry,25,
NIFTY2480125150CE,,2024-07-26,NSE,FO,,sell,False,25,29.2,16085122195132632572,1100000167585021,2024-07-26 15:23:04,2024-08-01,NIFTY,2024.0,8.0,1.0,25150.0,CE,NIFTY_2024-08-01_25150.0_CE,-25,Entry,25,
NIFTY2480124400PE,,2024-08-01,NSE,FO,,buy,False,25,0.65,3124633473852751302,2000000084432420,2024-08-01 11:00:31,2024-08-01,NIFTY,2024.0,8.0,1.0,24400.0,PE,NIFTY_2024-08-01_24400.0_PE,25,Exit,25,6941631741227733214
NIFTY2480125150CE,,2024-08-01,NSE,FO,,buy,False,25,4.55,10514066348266525585,1100000075017428,2024-08-01 11:00:37,2024-08-01,NIFTY,2024.0,8.0,1.0,25150.0,CE,NIFTY_2024-08-01_25150.0_CE,25,Exit,25,16085122195132632572
NIFTY2480824500CE,,2024-08-05,NSE,FO,,sell,False,25,44.6,2002894762842093110,1100000209923608,2024-08-05 15:01:17,2024-08-08,NIFTY,2024.0,8.0,8.0,24500.0,CE,NIFTY_2024-08-08_24500.0_CE,-25,Entry,25,
NIFTY2480823900PE,,2024-08-07,NSE,FO,,sell,False,25,17.4,7576533850623790635,2100000063784189,2024-08-07 10:50:44,2024-08-08,NIFTY,2024.0,8.0,8.0,23900.0,PE,NIFTY_2024-08-08_23900.0_PE,-25,Entry,25,
NIFTY2480823900PE,,2024-08-08,NSE,FO,,buy,False,25,0.35,10275401702841273030,2100000403224760,2024-08-08 14:45:57,2024-08-08,NIFTY,2024.0,8.0,8.0,23900.0,PE,NIFTY_2024-08-08_23900.0_PE,25,Exit,25,7576533850623790635
NIFTY2480824500CE,,2024-08-08,NSE,FO,,buy,False,25,0.35,16794291825405146609,1100000359666725,2024-08-08 14:46:03,2024-08-08,NIFTY,2024.0,8.0,8.0,24500.0,CE,NIFTY_2024-08-08_24500.0_CE,25,Exit,25,2002894762842093110
NIFTY2481424100PE,,2024-08-13,NSE,FO,,sell,False,25,31.5,17405947945268070685,2100000027094363,2024-08-13 09:36:19,2024-08-14,NIFTY,2024.0,8.0,14.0,24100.0,PE,NIFTY_2024-08-14_24100.0_PE,-25,Entry,25,
NIFTY2481424500CE,,2024-08-13,NSE,FO,,sell,False,25,38.0,15447050441384303033,1100000023894753,2024-08-13 09:36:20,2024-08-14,NIFTY,2024.0,8.0,14.0,24500.0,CE,NIFTY_2024-08-14_24500.0_CE,-25,Entry,25,
NIFTY2481424100PE,,2024-08-14,NSE,FO,,buy,False,25,8.3,17535931978176221416,2100000119448182,2024-08-14 13:25:21,2024-08-14,NIFTY,2024.0,8.0,14.0,24100.0,PE,NIFTY_2024-08-14_24100.0_PE,25,Exit,25,17405947945268070685
NIFTY2481424500CE,,2024-08-14,NSE,FO,,buy,False,25,0.7,15989116499377852193,1100000123477954,2024-08-14 13:25:30,2024-08-14,NIFTY,2024.0,8.0,14.0,24500.0,CE,NIFTY_2024-08-14_24500.0_CE,25,Exit,25,15447050441384303033
NIFTY2482224400PE,,2024-08-19,NSE,FO,,sell,False,25,56.0,14083614625570281894,2000000014983011,2024-08-19 09:37:09,2024-08-22,NIFTY,2024.0,8.0,22.0,24400.0,PE,NIFTY_2024-08-22_24400.0_PE,-25,Entry,25,
NIFTY2482224800CE,,2024-08-19,NSE,FO,,sell,False,25,30.35,8723485727866811082,1000000103801551,2024-08-19 12:57:22,2024-08-22,NIFTY,2024.0,8.0,22.0,24800.0,CE,NIFTY_2024-08-22_24800.0_CE,-25,Entry,25,
NIFTY2482224800CE,,2024-08-21,NSE,FO,,buy,False,25,45.55,4593365910669202326,1000000137386561,2024-08-21 15:27:41,2024-08-22,NIFTY,2024.0,8.0,22.0,24800.0,CE,NIFTY_2024-08-22_24800.0_CE,25,Exit,25,8723485727866811082
NIFTY2482224400PE,,2024-08-21,NSE,FO,,buy,False,25,3.45,18058323666166231273,2000000135032151,2024-08-21 15:28:58,2024-08-22,NIFTY,2024.0,8.0,22.0,24400.0,PE,NIFTY_2024-08-22_24400.0_PE,25,Exit,25,14083614625570281894
NIFTY24AUG24650PE,,2024-08-23,NSE,FO,,sell,False,25,48.75,13396027762738290793,2000000098996029,2024-08-23 14:40:03,2024-08-29,NIFTY,2024.0,8.0,,24650.0,PE,NIFTY_2024-08-29_24650.0_PE,-25,Entry,25,
NIFTY24AUG25050CE,,2024-08-23,NSE,FO,,sell,False,25,44.95,14263920534792966543,1000000105940874,2024-08-23 14:40:03,2024-08-29,NIFTY,2024.0,8.0,,25050.0,CE,NIFTY_2024-08-29_25050.0_CE,-25,Entry,25,
NIFTY24AUG25050CE,,2024-08-26,NSE,FO,,buy,False,25,115.1,17643531837216106145,1000000040361090,2024-08-26 10:18:11,2024-08-29,NIFTY,2024.0,8.0,,25050.0,CE,NIFTY_2024-08-29_25050.0_CE,25,Exit,25,14263920534792966543
NIFTY24AUG25150CE,,2024-08-26,NSE,FO,,sell,False,25,52.4,17360038143584313401,1100000136680051,2024-08-26 15:13:47,2024-08-29,NIFTY,2024.0,8.0,,25150.0,CE,NIFTY_2024-08-29_25150.0_CE,-25,Entry,25,
NIFTY24AUG24650PE,,2024-08-29,NSE,FO,,buy,False,25,0.35,4673363722143984952,2000000297617789,2024-08-29 15:05:33,2024-08-29,NIFTY,2024.0,8.0,,24650.0,PE,NIFTY_2024-08-29_24650.0_PE,25,Exit,25,13396027762738290793
NIFTY2490525000PE,,2024-09-02,NSE,FO,,sell,False,25,29.9,11467840500389279075,2000000113513046,2024-09-02 14:35:11,2024-09-05,NIFTY,2024.0,9.0,5.0,25000.0,PE,NIFTY_2024-09-05_25000.0_PE,-25,Entry,25,
NIFTY2490525500CE,,2024-09-02,NSE,FO,,sell,False,25,23.1,7935636671971219089,1100000111898591,2024-09-02 14:35:12,2024-09-05,NIFTY,2024.0,9.0,5.0,25500.0,CE,NIFTY_2024-09-05_25500.0_CE,-25,Entry,25,
NIFTY2490525000PE,,2024-09-05,NSE,FO,,buy,False,25,2.0,6218640513726567294,2000000095587000,2024-09-05 11:47:07,2024-09-05,NIFTY,2024.0,9.0,5.0,25000.0,PE,NIFTY_2024-09-05_25000.0_PE,25,Exit,25,11467840500389279075
NIFTY2490525500CE,,2024-09-05,NSE,FO,,buy,False,25,0.85,16100292365317296267,1100000093413158,2024-09-05 11:47:07,2024-09-05,NIFTY,2024.0,9.0,5.0,25500.0,CE,NIFTY_2024-09-05_25500.0_CE,25,Exit,25,7935636671971219089
NIFTY2491225200CE,,2024-09-06,NSE,FO,,sell,False,25,47.1,1481710916539308471,1000000099389262,2024-09-06 12:46:56,2024-09-12,NIFTY,2024.0,9.0,12.0,25200.0,CE,NIFTY_2024-09-12_25200.0_CE,-25,Entry,25,
NIFTY2491224600PE,,2024-09-06,NSE,FO,,sell,False,25,52.05,8189193284263264218,2000000121884290,2024-09-06 12:47:32,2024-09-12,NIFTY,2024.0,9.0,12.0,24600.0,PE,NIFTY_2024-09-12_24600.0_PE,-25,Entry,25,
NIFTY2491224600PE,,2024-09-12,NSE,FO,,buy,False,25,0.3,8566976821381372302,2000000196614853,2024-09-12 13:29:11,2024-09-12,NIFTY,2024.0,9.0,12.0,24600.0,PE,NIFTY_2024-09-12_24600.0_PE,25,Exit,25,8189193284263264218
NIFTY2491225200CE,,2024-09-12,NSE,FO,,buy,False,25,4.05,12474041836352316864,1000000202628909,2024-09-12 13:29:12,2024-09-12,NIFTY,2024.0,9.0,12.0,25200.0,CE,NIFTY_2024-09-12_25200.0_CE,25,Exit,25,1481710916539308471
NIFTY2491225400PE,,2024-09-12,NSE,FO,,buy,False,25,11.4,9220751415507948593,2000000315919456,2024-09-12 15:24:22,2024-09-12,NIFTY,2024.0,9.0,12.0,25400.0,PE,NIFTY_2024-09-12_25400.0_PE,25,Entry,25,
NIFTY2491225400PE,,2024-09-12,NSE,FO,,buy,False,25,11.4,2092264476747171005,2000000315919456,2024-09-12 15:24:22,2024-09-12,NIFTY,2024.0,9.0,12.0,25400.0,PE,NIFTY_2024-09-12_25400.0_PE,25,Entry,25,
NIFTY2491225400PE,,2024-09-12,NSE,FO,,buy,False,25,11.4,3369895387523774419,2000000315919456,2024-09-12 15:24:22,2024-09-12,NIFTY,2024.0,9.0,12.0,25400.0,PE,NIFTY_2024-09-12_25400.0_PE,25,Entry,25,
