symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2490525500CE,,02-09-2024,NSE,FO,,sell,FALSE,25,23.1,84938809,1100000111898591,2024-09-02T14:35:12,05-09-2024
NIFTY2490525000PE,,05-09-2024,NSE,FO,,buy,FALSE,25,2,738966150,2000000095587000,2024-09-05T11:47:07,05-09-2024
NIFTY2490525500CE,,05-09-2024,NSE,FO,,buy,FALSE,25,0.85,87458168,1100000093413158,2024-09-05T11:47:07,05-09-2024
NIFTY2491225200CE,,06-09-2024,NSE,FO,,sell,FALSE,25,47.1,3899729,1000000099389262,2024-09-06T12:46:56,12-09-2024
NIFTY2491224600PE,,06-09-2024,NSE,FO,,sell,FALSE,25,52.05,734590754,2000000121884290,2024-09-06T12:47:32,12-09-2024
NIFTY2491224600PE,,12-09-2024,NSE,FO,,buy,FALSE,25,0.3,745707016,2000000196614853,2024-09-12T13:29:11,12-09-2024
NIFTY2491225200CE,,12-09-2024,NSE,FO,,buy,FALSE,25,4.05,16765188,1000000202628909,2024-09-12T13:29:12,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863114,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863115,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863116,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863117,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863118,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863119,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863112,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863111,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863110,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491225400PE,,12-09-2024,NSE,FO,,buy,FALSE,25,11.4,764863113,2000000315919456,2024-09-12T15:24:22,12-09-2024
NIFTY2491925100PE,,16-09-2024,NSE,FO,,sell,FALSE,25,37.2,132230531,1200000053231096,2024-09-16T12:24:08,19-09-2024
NIFTY2491925600CE,,16-09-2024,NSE,FO,,sell,FALSE,25,32.7,132230570,1200000053231752,2024-09-16T12:24:09,19-09-2024
NIFTY2491925600CE,,18-09-2024,NSE,FO,,buy,FALSE,25,47.65,131834851,1200000056693224,2024-09-18T12:34:11,19-09-2024
NIFTY2491925500CE,,18-09-2024,NSE,FO,,sell,FALSE,25,54.1,3465454,1000000096183765,2024-09-18T13:30:15,19-09-2024
NIFTY2491925500CE,,19-09-2024,NSE,FO,,buy,FALSE,25,74.85,5317550,1000000058581329,2024-09-19T10:00:41,19-09-2024
NIFTY2491925100PE,,19-09-2024,NSE,FO,,buy,FALSE,25,1.75,135501813,1200000057310126,2024-09-19T10:03:33,19-09-2024
NIFTY24SEP25300PE,,20-09-2024,NSE,FO,,sell,FALSE,25,50.95,67266593,1100000075779379,2024-09-20T11:15:37,26-09-2024
NIFTY24SEP25300PE,,24-09-2024,NSE,FO,,buy,FALSE,25,10.7,66096044,1100000015672304,2024-09-24T09:29:27,26-09-2024
NIFTY24SEP25700PE,,24-09-2024,NSE,FO,,sell,FALSE,25,41.55,797070050,2000000023218788,2024-09-24T09:36:11,26-09-2024
NIFTY24SEP26200CE,,24-09-2024,NSE,FO,,sell,FALSE,25,26.55,797070105,2000000023220576,2024-09-24T09:36:12,26-09-2024
NIFTY24SEP25700PE,,26-09-2024,NSE,FO,,buy,FALSE,25,1,804846368,2000000198458344,2024-09-26T14:35:29,26-09-2024
NIFTY24SEP26200PE,,26-09-2024,NSE,FO,,sell,FALSE,25,47.2,806795529,2000000219240208,2024-09-26T14:52:12,26-09-2024
NIFTY24SEP26200CE,,26-09-2024,NSE,FO,,buy,FALSE,25,18.5,811542806,2000000249432301,2024-09-26T15:14:19,26-09-2024
NIFTY24SEP26200PE,,26-09-2024,NSE,FO,,buy,FALSE,25,1.4,811543212,2000000249433668,2024-09-26T15:14:19,26-09-2024
NIFTY24O0325900PE,,27-09-2024,NSE,FO,,sell,FALSE,25,32.6,730746806,1900000025650763,2024-09-27T10:33:28,03-10-2024
NIFTY24O0326600CE,,27-09-2024,NSE,FO,,sell,FALSE,25,32.8,130758617,1200000025615110,2024-09-27T10:33:28,03-10-2024
NIFTY24O0326600CE,,30-09-2024,NSE,FO,,buy,FALSE,25,6.3,133806204,1200000053234056,2024-09-30T12:20:56,03-10-2024
NIFTY24O0326200CE,,30-09-2024,NSE,FO,,sell,FALSE,25,36.35,798808429,2000000051871660,2024-09-30T12:22:04,03-10-2024
NIFTY24O0325800CE,,01-10-2024,NSE,FO,,sell,FALSE,25,80.9,78947994,1100000128688354,2024-10-01T15:23:05,03-10-2024
NIFTY24O0326200CE,,01-10-2024,NSE,FO,,buy,FALSE,25,3.1,809966643,2000000130159299,2024-10-01T15:23:05,03-10-2024
NIFTY24O0325900PE,,03-10-2024,NSE,FO,,buy,FALSE,25,502.2,737493254,1900000110889452,2024-10-03T11:28:38,03-10-2024
NIFTY24O0325800CE,,03-10-2024,NSE,FO,,buy,FALSE,25,1.5,79290157,1100000192761842,2024-10-03T13:23:14,03-10-2024
NIFTY24O0325250CE,,03-10-2024,NSE,FO,,buy,FALSE,25,14.95,26615518,1000000285920147,2024-10-03T14:45:24,03-10-2024
NIFTY24O0325250PE,,03-10-2024,NSE,FO,,buy,FALSE,25,10.85,26615675,1000000285921580,2024-10-03T14:45:24,03-10-2024
NIFTY24O0325250CE,,03-10-2024,NSE,FO,,sell,FALSE,25,5.9,34484670,1000000319770039,2024-10-03T15:15:58,03-10-2024
NIFTY24O0325250PE,,03-10-2024,NSE,FO,,sell,FALSE,25,0.15,34485357,1000000319772137,2024-10-03T15:15:58,03-10-2024
NIFTY24O1024600PE,,04-10-2024,NSE,FO,,sell,FALSE,25,68.1,135184919,1200000179432483,2024-10-04T14:18:24,10-10-2024
NIFTY24O1025500CE,,04-10-2024,NSE,FO,,sell,FALSE,25,42.95,6878361,1000000201177725,2024-10-04T14:18:24,10-10-2024
NIFTY24O1025200CE,,07-10-2024,NSE,FO,,sell,FALSE,25,49.6,9694217,1000000249159566,2024-10-07T14:20:07,10-10-2024
NIFTY24O1025500CE,,07-10-2024,NSE,FO,,buy,FALSE,25,17.05,155271167,1200000243721325,2024-10-07T14:20:07,10-10-2024
NIFTY24O1024600PE,,09-10-2024,NSE,FO,,buy,FALSE,25,8.85,10463217,1000000234344265,2024-10-09T15:06:59,10-10-2024
NIFTY24O1025200CE,,09-10-2024,NSE,FO,,buy,FALSE,25,16.25,10463313,1000000234345363,2024-10-09T15:06:59,10-10-2024
NIFTY24O1724750PE,,14-10-2024,NSE,FO,,sell,FALSE,25,34.25,219337736,1300000012181113,2024-10-14T09:36:03,17-10-2024
NIFTY24O1725350CE,,14-10-2024,NSE,FO,,sell,FALSE,25,28.1,219337759,1300000012181913,2024-10-14T09:36:03,17-10-2024
NIFTY24O1724750PE,,16-10-2024,NSE,FO,,buy,FALSE,25,10,220082251,1300000041118623,2024-10-16T10:50:56,17-10-2024
NIFTY24O1724900PE,,16-10-2024,NSE,FO,,sell,FALSE,25,29.6,148082689,1200000051246888,2024-10-16T10:50:56,17-10-2024
NIFTY24O1725200CE,,16-10-2024,NSE,FO,,sell,FALSE,25,25.45,2355800,1000000051857445,2024-10-16T10:50:56,17-10-2024
NIFTY24O1725350CE,,16-10-2024,NSE,FO,,buy,FALSE,25,7.75,220082231,1300000041117353,2024-10-16T10:50:56,17-10-2024
NIFTY24O1725200CE,,17-10-2024,NSE,FO,,buy,FALSE,25,2.7,5117630,1000000053675542,2024-10-17T09:54:44,17-10-2024
NIFTY24O1724900PE,,17-10-2024,NSE,FO,,buy,FALSE,25,94.45,151600743,1200000065135422,2024-10-17T10:07:54,17-10-2024
NIFTY24O2425000CE,,18-10-2024,NSE,FO,,sell,FALSE,25,39.8,417684,1000000005767703,2024-10-18T09:20:34,24-10-2024
NIFTY24O2425000CE,,23-10-2024,NSE,FO,,buy,FALSE,25,6.4,3969605,1000000110403164,2024-10-23T11:04:45,24-10-2024
NIFTY24O2424750CE,,23-10-2024,NSE,FO,,sell,FALSE,25,31.55,221315413,1300000096048912,2024-10-23T11:17:59,24-10-2024
NIFTY24O2424300PE,,23-10-2024,NSE,FO,,sell,FALSE,25,26.7,151005522,1200000130257502,2024-10-23T11:42:10,24-10-2024
NIFTY24O2424300PE,,24-10-2024,NSE,FO,,buy,FALSE,25,28.1,149936853,1200000054051760,2024-10-24T09:50:28,24-10-2024
NIFTY24O2424750CE,,24-10-2024,NSE,FO,,buy,FALSE,25,2.15,221878615,1300000046154184,2024-10-24T09:50:33,24-10-2024
NIFTY24OCT23800PE,,25-10-2024,NSE,FO,,sell,FALSE,25,38.2,8526256,1000000245900991,2024-10-25T15:29:50,31-10-2024
NIFTY24OCT24500CE,,25-10-2024,NSE,FO,,sell,FALSE,25,42.15,153992464,1200000243062136,2024-10-25T15:29:50,31-10-2024
NIFTY24OCT24500CE,,30-10-2024,NSE,FO,,buy,FALSE,25,62.3,147836281,1200000043285411,2024-10-30T10:13:21,31-10-2024
NIFTY24OCT23800PE,,30-10-2024,NSE,FO,,buy,FALSE,25,4.3,2391438,1000000045778698,2024-10-30T10:14:08,31-10-2024
NIFTY24OCT24250PE,,30-10-2024,NSE,FO,,sell,FALSE,25,33.85,74085626,1100000034994840,2024-10-30T10:15:44,31-10-2024
NIFTY24OCT24600CE,,30-10-2024,NSE,FO,,sell,FALSE,25,30.95,2424896,1000000047079104,2024-10-30T10:15:44,31-10-2024
NIFTY24N0724500CE,,04-11-2024,NSE,FO,,sell,FALSE,25,29.05,148951616,1200000068118470,2024-11-04T10:34:58,07-11-2024
NIFTY24N0723400PE,,04-11-2024,NSE,FO,,sell,FALSE,25,60,3209287,1000000069591845,2024-11-04T10:35:13,07-11-2024
NIFTY24N0723400PE,,06-11-2024,NSE,FO,,buy,FALSE,25,2.25,9646006,1000000206326101,2024-11-06T14:32:16,07-11-2024
NIFTY24N0724500PE,,06-11-2024,NSE,FO,,sell,FALSE,25,83.2,155353294,1200000204602814,2024-11-06T14:37:34,07-11-2024
NIFTY24N0724500PE,,07-11-2024,NSE,FO,,buy,FALSE,25,291.85,151852077,1200000078236498,2024-11-07T10:03:10,07-11-2024
